Opposition,Ground,Innings,Overs,Conceded runs,Wicket taken ?
England,The Oval,1,4,24,no
England,The Oval,2,0,0,no
Srilanka,The Oval,1,4,19,no
Srilanka,The Oval,2,0,0,no
Ireland,Providence,1,0,0,no
Ireland,Providence,2,3.4,8,yes
England,Providence,1,4,22,yes
England,Providence,2,0,0,no
Srilanka,BridgeTown,1,2,23,no
Srilanka,BridgeTown,2,0,0,no
India,BridgeTown,1,0,0,no
India,BridgeTown,2,3,16,yes
Australia,Gros Istel,1,0,0,no
Australia,Gros Istel,2,1,3,no
Australia,Columbo,1,0,0,no
Australia,Columbo,2,2,15,no
Ireland,Columbo,0,0,0,no
Ireland,Columbo,1,3,23,yes
England,Pallekele,1,0,0,no
England,Pallekele,2,1,13,no
Srilanka,Pallekele,1,0,0,no
Srilanka,Pallekele,2,4,28,no
New Zealand,Pallekele,1,0,0,no
New Zealand,Pallekele,2,4,35,yes
Australia,Columbo,1,0,0,no
Australia,Columbo,2,1,11,no
Srilanka,Columbo,1,0,0,no
Srilanka,Columbo,2,2,6,yes
India,Dhaka,1,0,0,no
India,Dhaka,2,1,9,no
Bangladesh,Dhaka,1,0,0,no
Bangladesh,Dhaka,2,1,6,no
Australia,Dhaka,1,1,16,no
Australia,Dhaka,2,0,0,no
Pakistan,Dhaka,1,0,0,no
Pakistan,Dhaka,2,0,0,no
Srilanka,Dhaka,1,0,0,no
Srilanka,Dhaka,2,0,0,no
England,Mumbai,1,0,0,no
England,Mumbai,2,0,0,no
Srilanka,Bengaluru,1,0,0,no
Srilanka,Bengaluru,2,0,0,no
South Africa,Nagpur,1,0,0,no
South Africa,Nagpur,2,0,0,no
Afghanistan,Nagpur,1,0,17,yes
Afghanistan,Nagpur,2,2,0,no
India,Mumbai,1,0,0,no
India,Mumbai,2,0,0,no
England,Kolkata,1,1,14,no
England,Kolkata,2,0,0,no
